# Catatan : 
# p = pacman
# r = remove / uninstall
# a = aur

alacritty               | p | Terminal Emulator
android-file-transfer   | p | Program untuk share file dgn android
arc-gtk-theme           | p | Desktop theme
audacious               | p | Music Player
brave                   | p | Browser
checkbashisms           | p | Program untuk cek "bashisms"
dash                    | p | POSIX-compliant of /bin/sh
dotnet-sdk-bin          | a | .NET SDK 
evince                  | p | Pdf viewer
exo                     | p | Application library for Xfce
ffmpeg                  | p | Multitools for audio & video
firefox                 | p | Browser
flameshot               | p | Program untuk screenshot
garcon                  | p | Implementation of the freedesktop.org menu specification 
git                     | p | Version control system
gvfs                    | p | Virtual filesystem 
gzip                    | p | GNU compression utility  
ksuperkey               | a | Allows shortcut using the super key only
mpv                     | p | Video player
neovim                  | p | Text editor
network-manager-applet  | p | Applet for managing network connections
nodejs                  | p | Evented I/O for V8 javascript 
nomacs                  | p | Image viewer
npm                     | p | A package manager for javascript   
p7zip                   | p | CLI file archiver 
papirus-icon-theme      | p | Icon theme
pavucontrol             | p | PulseAudio volume control
pulseaudio              | p | Sound server 
polkit-gnome            | p | Legacy polkit agent for GNOME
python-pip              | p | Tool for installing Python packages   
redshift                | p | Adjust color temperature
rustup                  | p | The Rust toolchain installer    
thunar                  | p | File manager 
thunar-volman           | p | Automatic management of removeable devices in Thunar 
tlp                     | p | Power manager 
ttf-droid               | p | Droid font
ttf-times-new-roman     | a | Times new roman font
tumbler                 | p | D-Bus service for applications to request thumbnails 
unzip                   | p | For extracting and viewing files .zip  
xclip                   | p | Clipboard
xfce4-appfinder         | p | Application finder for Xfce
xfce4-notifyd           | p | Xfce notification plugin
xfce4-panel             | p | Panel for the Xfce desktop environment 
xfce4-power-manager     | p | Power manager for Xfce desktop 
xfce4-pulseaudio-plugin | p | Xfce pulseaudio plugin
xfce4-session           | p | Xfce's session manager    
xfce4-settings          | p | Settings manager of the Xfce desktop 
xfce4-taskmanager       | p | Xfce taskmanager
xfce4-whiskermenu-plugin| p | Xfce whiskermenu
xfconf                  | p | Flexible, easy-to-use configuration management system
xfdesktop               | p | A desktop manager for Xfce 
xfwm4                   | p | Xfce's window manager 
xfwm4-themes            | p | A set of additional themes for the Xfce window manager 
